Date,Time,Number1,Number2
2012-06-05,Midday,2,8
2012-06-05,Evening,4,0
2012-06-06,Evening,5,7
2012-06-06,Midday,1,6
2012-06-07,Midday,4,8
2012-06-07,Evening,5,3
2012-06-08,Evening,0,3
2012-06-08,Midday,1,6
2012-06-09,Evening,8,3
2012-06-09,Midday,5,4
2012-06-10,Evening,1,9
2012-06-10,Midday,7,1
2012-06-11,Midday,8,9
2012-06-11,Evening,5,0
2012-06-12,Evening,7,6
2012-06-12,Midday,5,9
2012-06-13,Evening,5,5
2012-06-13,Midday,2,8
2012-06-14,Evening,7,7
2012-06-14,Midday,6,0
2012-06-15,Evening,6,5
2012-06-15,Midday,7,4
2012-06-16,Evening,3,8
2012-06-16,Midday,9,8
2012-06-17,Evening,5,8
2012-06-17,Midday,1,2
2012-06-18,Evening,2,5
2012-06-18,Midday,6,4
2012-06-19,Midday,1,6
2012-06-19,Evening,9,1
2012-06-20,Evening,8,6
2012-06-20,Midday,8,7
2012-06-21,Midday,5,0
2012-06-21,Evening,6,5
2012-06-22,Evening,6,3
2012-06-22,Midday,2,7
2012-06-23,Midday,9,9
2012-06-23,Evening,1,6
2012-06-24,Midday,3,0
2012-06-24,Evening,5,0
2012-06-25,Midday,7,2
2012-06-25,Evening,9,6
2012-06-26,Evening,5,0
2012-06-26,Midday,1,0
2012-06-27,Midday,7,2
2012-06-27,Evening,6,7
2012-06-28,Midday,8,7
2012-06-28,Evening,2,7
2012-06-29,Midday,7,7
2012-06-29,Evening,2,7
2012-06-30,Evening,8,5
2012-06-30,Midday,1,4
2012-07-01,Evening,0,6
2012-07-01,Midday,5,7
2012-07-02,Evening,8,5
2012-07-02,Midday,5,0
2012-07-03,Midday,8,2
2012-07-03,Evening,7,8
2012-07-04,Midday,2,5
2012-07-04,Evening,2,5
2012-07-05,Midday,4,7
2012-07-05,Evening,9,0
2012-07-06,Evening,6,3
2012-07-06,Midday,6,3
2012-07-07,Midday,5,0
2012-07-07,Evening,5,7
2012-07-08,Evening,2,2
2012-07-08,Midday,3,0
2012-07-09,Midday,7,6
2012-07-09,Evening,3,0
2012-07-10,Midday,6,0
2012-07-10,Evening,1,7
2012-07-11,Midday,2,1
2012-07-11,Evening,1,0
2012-07-12,Midday,0,3
2012-07-12,Evening,1,6
2012-07-13,Midday,8,1
2012-07-13,Evening,0,9
2012-07-14,Evening,2,4
2012-07-14,Midday,9,6
2012-07-15,Evening,3,5
2012-07-15,Midday,8,6
2012-07-16,Midday,7,8
2012-07-16,Evening,7,2
2012-07-17,Midday,1,2
2012-07-17,Evening,0,7
2012-07-18,Evening,1,4
2012-07-18,Midday,0,6
2012-07-19,Evening,3,6
2012-07-19,Midday,1,4
2012-07-20,Midday,4,9
2012-07-20,Evening,9,6
2012-07-21,Midday,8,8
2012-07-21,Evening,9,3
2012-07-22,Evening,3,5
2012-07-22,Midday,6,1
2012-07-23,Midday,4,5
2012-07-23,Evening,7,3
2012-07-24,Evening,6,2
2012-07-24,Midday,7,6
2012-07-25,Evening,9,4
2012-07-25,Midday,6,0
2012-07-26,Evening,7,4
2012-07-26,Midday,4,9
2012-07-27,Midday,6,0
2012-07-27,Evening,5,9
2012-07-28,Midday,2,2
2012-07-28,Evening,5,0
2012-07-29,Midday,7,7
2012-07-29,Evening,9,3
2012-07-30,Evening,6,7
2012-07-30,Midday,9,7
2012-07-31,Midday,2,8
2012-07-31,Evening,4,5
2012-08-01,Midday,3,2
2012-08-01,Evening,9,0
2012-08-02,Evening,9,3
2012-08-02,Midday,7,5
2012-08-03,Evening,6,1
2012-08-03,Midday,1,2
2012-08-04,Midday,8,2
2012-08-04,Evening,3,2
2012-08-05,Midday,0,4
2012-08-05,Evening,7,8
2012-08-06,Midday,2,4
2012-08-06,Evening,0,0
2012-08-07,Evening,5,0
2012-08-07,Midday,8,5
2012-08-08,Evening,9,5
2012-08-08,Midday,3,9
2012-08-09,Evening,4,4
2012-08-09,Midday,7,4
2012-08-10,Evening,9,8
2012-08-10,Midday,3,1
2012-08-11,Evening,3,0
2012-08-11,Midday,0,8
2012-08-12,Midday,3,5
2012-08-12,Evening,4,0
2012-08-13,Evening,0,2
2012-08-13,Midday,7,2
2012-08-14,Evening,7,7
2012-08-14,Midday,3,0
2012-08-15,Midday,6,2
2012-08-15,Evening,5,3
2012-08-16,Evening,0,5
2012-08-16,Midday,9,8
